Date,Symbol,rk_parzen,rv5,close_price,,
20161025,.SPX,1.07E-05,1.04E-05,2143.36,,
20161026,.SPX,2.08E-05,2.29E-05,2139.53,,
20161027,.SPX,2.23E-05,2.28E-05,2133.36,,
20161028,.SPX,5.85E-05,5.88E-05,2126.48,,
20161031,.SPX,7.92E-06,1.41E-05,2126.26,,
20161101,.SPX,3.81E-05,3.54E-05,2111.74,,
20161102,.SPX,2.68E-05,4.40E-05,2098.06,,
20161103,.SPX,1.47E-05,1.83E-05,2088.72,,
20161104,.SPX,2.48E-05,3.17E-05,2085.38,,
20161107,.SPX,6.18E-05,5.82E-05,2131.37,,
